题目,第一作者,第二作者,通讯作者,所有作者（以英文逗号隔开）,期刊,JCR分区，选取小分区中最高即可,期刊影响因子,volume，没有填-,number，没有填-,页码,年份,出版商,原文链接,pdf全称（pdf中空格替换为英文下划线_）,文章首页图片名称(大小：636×900像素，保存为pdf全称.jpg格式),摘要（复制粘贴注意从pdf粘贴出来的格式）,
Temperature Fluctuation Synthesis/Simultaneous Densification and Microstructure Control of Titanium Silicon Carbide （Ti3SiC2） Ceramics,Zhimei Sun ,Yanchun Zhou,Yanchun Zhou,"Zhimei Sun ,Yanchun Zhou ",Journal of Materials Science & Technology,Q2,5.04,-,-,461-465,2000,Chinese Society of Metals,https://kns.cnki.net/KCMS/detail/detail.aspx?dbcode=CJFQ&dbname=CJFD2000&filename=CLKJ200005001&uid=WEEvREcwSlJHSldRa1FhcTdWa2FjR2RCYUI3NkZydW0wRXVzVGp2clRKST0=$9A4hF_YAuvQ5obgVAqNKPCYcEjKensW4IQMovwHtwkF4VYPoHbKxJw!!&v=MTA1OTJUM3FUcldNMUZyQ1VSTE9lWitab0ZpSGhVNzNLSmlIQVpMRzRIdEhNcW85RlpZUjhlWDFMdXhZUzdEaDE=,2000jmst-sun-JMST-2000.pdf,2000jmst-sun-JMST-2000.jpg,"A novel temperature fluctuation synthesis/simultaneous densification process was developed for the preparation of Ti3SiC2 bulk ceramics. In this process, Si is used as an in-situ liquid forming phase and it is favorable for both the solid-liquid synthesis and the densification of Ti3SiC2 ceramics. The present work demonstrated that the temperature fluctuation synthesis/simultaneous densification process is one of the most effective and simple methods for the preparation of Ti3SiC2 bulk materials providing relatively low synthesis temperature, short reaction time, and simultaneous synthesis and densification. This work also showed the capability to control the microstructure, e.g., the preferred orientation, of the bulk Ti3SiC2 materials simply by applying the hot pressing pressure at different stages of the temperature fluctuation process. And textured Ti3SiC2 bulk materials with {002} faces of laminated Ti3SiC2 grains normal to the hot pressing axis were prepared.",
Temperature ﬂuctuation/hot pressing synthesis of Ti3SiC2,Yanchun Zhou,-,Yanchun Zhou,"Yanchun Zhou,Zhimei Sun ",Journal of Materials Science,Q3,3.442,35,17,4343-4346,2000,Kluwer Academic Publishers,https://doi.org/10.1023/A:1004848705481,2000jms-zhou_JMS_2000.pdf,2000jms-zhou_JMS_2000.jpg,"A novel temperature fluctuation synthesis and simultaneous densification process for the preparation of Ti3SiC2 was developed. The advantages of this novel method include low synthesis temperature, short reaction time and simultaneous densification. The microstructure and room temperature mechanical properties of the Ti3SiC2 synthesized using this method were investigated. The result demonstrated that the Ti3SiC2 ceramic consisted of mainly laminated grains. It was found, with the aid of computer simulated crystallite shape, that the laminated Ti3SiC2 grains were composed of thin hexagonal plates. These laminated grains characterized the Ti3SiC2, and were responsible for the mechanical properties of the polycrystalline Ti3SiC2 ceramic. The measured flexural strength and the fracture toughness were 470 ± 26 MPa and 7.0 ± 0.2 MPa·m1/2, respectively. The high toughness was attributed to the contribution of crack deflection, crack bridging, delaminating and grain pull-out of laminated Ti3SiC2.",
Electronic structure and bonding properties in layered ternary carbide Ti3SiC2,Yanchun Zhou,-,Yanchun Zhou,"Yanchun Zhou,Zhimei Sun ",Journal of Physics-Condensed Matter,Q2,2.711,12,28,L457,2000,IOP Publishing Ltd.,https://doi.org/10.1088/0953-8984/12/28/102,2000jpcm-zhou_JPCM_2000.pdf,2000jpcm-zhou_JPCM_2000.jpg," Ab initio calculations based on the density-functional pseudopotential approach have been used to study the electronic structure and chemical bonding in layered machinable Ti3SiC2 ceramic. The calculations reveal that all three types of bonding—metallic, covalent and ionic— contribute to the bonding in Ti3SiC2. The high electric conductivity is attributed to the metallic bonding parallel to the basal plane and the high modulus and high melting point are attributed to the strong Ti–C–Ti–C–Ti covalent bond chains in the structure.",
The anomalous ¯ ow behaviour in the layered Ti3SiC2 ceramic,Zhimei Sun ,-,Yanchun Zhou,"Zhimei Sun,Yanchun Zhou,Jian Zhou",Philosophical Magazine Letters,Q4,1.117,80,5,289-293,2000,TAYLOR & FRANCIS LTD,https://doi.org/10.1080/095008300176056,2000pml-sun_PML_2000.pdf,2000pml-sun_PML_2000.jpg,"The temperature dependence of flow stress for polycrystalline titanium silicon carbide (Ti3SiC2) has been investigated from room temperature to 1423K. An anomalous positive temperature dependence of flow stress was observed in this ceramic. This anomalous phenomenon is attributed to the change in the mechanism controlling the flow stress. However, it is not in good agreement with the widely accepted Kear-Wilsdorf mechanism.

",
Electronic structure and bonding properties of layered machinable Ti2AlC and Ti2AlN ceramics,Yanchun Zhou,-,Yanchun Zhou,"Zhou Yanchun , Sun Zhimei",Phys.rev.b,Q1,3.736,61,19,75120-12573,2000,-,https://www.researchgate.net/publication/261010302_Electronic_Structure_and_Bonding_Properties_Layered_Machinable_Ti2AlC_and_Ti2AlN,2000prb-zhou_PRB_2000.pdf,2000prb-zhou_PRB_2000.jpg,The electronic structure and chemical bonding of the layered ternary compounds Ti2AlC and Ti2AlN have been calculated by the ab initio pseudopotential total-energy method. The results show that Ti2AlC and Ti2AlN exhibit metallic electrical conductivity with an anisotropic character and Ti2AlC should be more conductive than Ti2AlN. The chemical bonding in Ti2AlC and Ti2AlN is also anisotropic and is metallic-covalent-ionic in nature. On the basis of total-energy estimation we conclude that the replacement of C by N will result in a stabilization of the hexagonal structure and decrease in metallic properties.,
Microstructure of Ti3SiC2 Prepared by the In-Situ Hot Pressing/Solid–Liquid Reaction Process,Yanchun Zhou,-,Yanchun Zhou,"Zhou Yanchun , Sun Zhimei,B. H. Yu",International Journal of Materials Research,Q4,0.851,91,11,937-941 ,2000,Carl Hanser Verlag GmbH & Co. KG,https://www.researchgate.net/publication/281201167_Microstructure_of_Ti3SiC2_Prepared_by_the_In-Situ_Hot_PressingSolid-Liquid_Reaction_Process,2000Zmetallk-zhouyanchun-MicrostructureofTi3SiC2PreparedbytheIn-situHotPressingSolid-liquidReactionProcess.pdf,2000Zmetallk-zhouyanchun-MicrostructureofTi3SiC2PreparedbytheIn-situHotPressingSolid-liquidReactionProcess.jpg,"The microstructure of Ti3SiC2 ceramic prepared by the in-situ hot pressing/solid-liquid reaction process was investigated by transmission electron microscopy. TiC and SiC were identified to be the main impurity phases in this material. The presence of TiC inclusions in Ti3SiC2 resulted in high density of dislocations within Ti3SiC2 matrix and even interfacial cracking. The SiC impurities were one-dimensional disordered, i.e. with overwhelming of stacking faults and could be distinguished from TiC. Beside the observed impurities imbedded in Ti3SiC2, an interesting phenomenon was that needle-shaped Ti3SiC2 was also observed within TiC grains. The needle-shape Ti3SiC2 grew in TiC following the crystallographic relations of (111) TiC // (0001) Ti3SiC2, (002) TiC // (11̄04) Ti3SiC2, and [11̄0] TiC // [110] Ti3SiC2. Slip trace of basal plane dislocations were observed in Ti3SiC2 and the dislocations pile up at grain boundaries suggesting that significant plastic deformation would be expected in single crystal or coarse-grain material.",
Titanium Silicon Carbide: a Ceramic or a Metal?,Yanchun Zhou,-,Yanchun Zhou,"Zhou, Yanchun , Sun Zhimei,Sun Jihong,Zhang Yi, Zhou Jian ",International Journal of Materials Research,Q4,0.851,91,4,329-334,2000,Carl Hanser Verlag GmbH & Co. KG,https://www.researchgate.net/publication/280824771_Titanium_Silicon_Carbide_a_Ceramic_or_a_Metal,2000Zmetallk-zhouyanchun-TitaniumSiliconCarbideaCeramicorametal.pdf,2000Zmetallk-zhouyanchun-TitaniumSiliconCarbideaCeramicorametal.jpg,"Titanium silicon carbide (TirSiCz) is a novel material that is attractive to both material scientists and physicists. The salient properties of this material include high melting point, high strength and modulus, high thermal and electrical conductivity, excellent high-temperature oxidation resistance, and machinability by both electrical discharge method and conventional cutting tools. These properties are believed to be strongly related to the structural properties and microstructure features, and we are intrigued to establish the relations between them. The purpose of this work is to understand: why Ti3SiC2 adopts the structure it has and how its physical properties are related to its crystal and electronic structure? The microstructure features and properties of the Ti3SiC2 prepared by the insituhot pressing/solid-liquid reaction method are also presented. The work demonstrated that TirSiCz is a material that,combines,the merit,of both metals and ceramics.",
HIGH TEMPERATURE OXIDATION BEHAVIOR OF Ti3SiC2BASED MATERIAL IN AIR,Zhimei Sun ,-,Yanchun Zhou,"Zhimei Sun,Yanchun Zhou,Meishuan Li",Acta Materialia,Q1,7.293,49,20,4347-4353,2001,Elsevier Ltd,"
https://doi.org/10.1016/S1359-6454(01)00247-6",2001acta-sun_acta_2001.pdf,2001acta-sun_acta_2001.jpg,"The oxidation behavior of Ti 3SiC 2-based material in air has been studied from 900degC to 1200degC. The work showed that the growth of the oxide scale on Ti 3SiC 2 -based material obeyed a parabolic law from 900degC to 1100degC, while at 1200degC it followed a linear rule. The oxide scale was generally composed of an outer layer of coarse-grained TiO 2 (rutile) and an inner layer of fine-grained TiO 2 and SiO 2 (tridymite) above 1000degC. A discontinuous coarse-grained SiO 2 layer was observed within the outer coarse-grained TiO 2 layer on the samples oxidized at 1100degC and 1200degC. Marker experiments showed that the oxidation process was controlled by the inward diffusion of oxygen, outward diffusion of titanium and CO or SiO, and that internal oxidation predominated. The TiC content in Ti 3SiC 2 was deleterious to the oxidation resistance of Ti 3SiC 2",
Oxidation behaviour of Ti3SiC2-based ceramic at 900-1300 degrees C in air,Zhimei Sun ,-,Yanchun Zhou,"Zhimei Sun,Yanchun Zhou,Meishuan Li",CORROSION SCIENCE,Q1,6.355,43,6,1095-1109,2001,"PERGAMON-ELSEVIER SCIENCE LTD, THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND",https://doi.org/ 10.1016/S0010-938X(00)00142-6,2001corrsion-sun_corrosion_2001.pdf,2001corrsion-sun_corrosion_2001.jpg,"The isothermal oxidation behaviour of Ti3SiC2-based ceramic containing 7 wt.% TIC at 900-1300 degreesC in air has been investigated. The growth of the oxide scales on Ti3SiC2 from 900 degreesC to 1100 degreesC obeyed a parabolic law, whereas at 1200 degreesC and 1300 degreesC, it was a two-step parabolic oxidation process. The scale was composed of an outer layer of coarse-grained TiO2 (rutile). an inner layer of a mixture of fine-grained TiO2 and SiO2 (tridymite). Furthermore, the oxide scale at 1100 degreesC contained a discontinuous SiO2 ""barrier"" sandwiched in the outer TiO2 layer. The scales formed on Ti3SiC2 were dense, adhesive and have good adhesion with the substrate during the cyclic oxidation. (C) 2001 Elsevier Science Ltd. All rights reserved.",
Micro-scale plastic deformation of polycrystalline Ti3SiC2 under room-temperature compression,Yanchun Zhou,-,Yanchun Zhou,"Yanchun Zhou,Zhimei Sun",JOURNAL OF THE EUROPEAN CERAMIC SOCIETY,Q1,4.029,21,8,1007-1011,2001,"ELSEVIER SCI LTD,",https://doi.org/10.1016/S0955-2219(00)00310-1,2001jecs-zhou_JECS_2001.pdf,2001jecs-zhou_JECS_2001.jpg,"The micro-scale plastic deformation of Ti3SiC2 ceramic under compression test was investigated. The results demonstrate that Ti3SiC2 is a damage tolerant material and samples are shear fractured upon failure. Micro-scale plastic deformation was observed in the local deformed region on the fractured surfaces. Owing to its complex crystal structure and insufficient number of slip systems, the deformation modes for polycrystalline Ti3SiC2 at room temperature are a combination of delamination and kink-band formation of elongated grains, dislocation slip and intergranular Fracture, which result in micro-scale plasticity in polycrystalline Ti3SiC2. (C) 2001 Elsevier Science Ltd. All rights reserved.",
Electronic and structural properties of the layered ternary carbide Ti3AlC2,Yanchun Zhou,-,Yanchun Zhou,"Yanchun Zhou,Zhimei Sun,XH Wang,SQ Chen",JOURNAL OF MATERIALS CHEMISTRY,Q1,6.626,11,9,2335-2339,2001,ROYAL SOC CHEMISTRY,-,2001jmc-zhou_JMC_2001.pdf,2001jmc-zhou_JMC_2001.jpg,"The electronic and structural properties of the layered ternary compound Ti3AlC2 have been determined using the ab initio pseudopotential method based on density functional theory. We have obtained the equilibrium lattice parameters, the equilibrium atomic positions in the unit cell, and interatomic distances. The calculated bulk modulus is 190 GPa and is comparable to that of TiC. The band structure, density of states (DOS) and effective charges are presented and compared with those of TiC. The band structure indicates that Ti3AlC2 is an electronic conductor. The electronic structure discloses that the bonding in Ti3AlC2 is anisotropic and metallic-covalent-ionic in nature. Compare to the structure of TiC, the presence of Al changes the Ti-C-Ti-C covalent bond chain into a Ti-C-Ti-C-Ti-Al bond chain through its reaction with Ti, forming the layered structure. Effective charge calculations suggest the ionic formula of Ti3AlC2 to be (Ti1.18+)(Ti0.59+)(2)(Al0.52-)(C0.92-)(2).",
"Ab initio geometry optimization and ground state properties of layered ternary carbides Ti3MC2 (M = Al, Si and Ge)",Yanchun Zhou,-,Yanchun Zhou,"Yanchun Zhou,XH Wang,Zhimei Sun,SQ Chen",JOURNAL OF PHYSICS-CONDENSED MATTER,Q2,2.711,13,44, 10001-10010,2001,IOP PUBLISHING LTD,http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=16&SID=7ABp3n8D79fHzHiVpSt&page=1&doc=1,2001jpcm-zhou_JPCM_2001.pdf,2001jpcm-zhou_JPCM_2001.jpg,"The crystal structures of all layered ternary carbides called ‘312’ phases including Ti3AlC2, Ti 3SiC2 and Ti3GeC2 have been fully optimized by means of ab initio total-energy calculations. The equilibrium lattice parameters, the atomic positions in the unit cell and interatomic distances have been determined. The differences between the calculated and the measured lattice constantsaregenerallyless than1%. Itisalsoshownthatc/aofthehexagonal lattices decreases from Ti3AlC2 to Ti3GeC2. The calculated bulk moduli are 190 GPa for Ti3AlC2, 202 GPa for Ti3SiC2 and 198 GPa for Ti3GeC2, respectively, which are comparable to that of TiC. The electronic structures reveal that the Ti(1,2) and C atoms form a strong Ti(2)–C–Ti(1)–C–Ti(2) covalentbondchain,while thebondingbetweenTi(2)andM(M=Al, Si, Ge) is relatively weak. The strong Ti(2)–C–Ti(1)–C–Ti(2) covalent bond chain corresponds to the high strength and modulus, while the metallic bond correspondsto the metallic conductivityof these ternaries.",
Cyclic-Oxidation Behavior of Ti3SiC2-Base Material at 1100°C,Z Sun,Y Zhou,Y Zhou,"Z Sun,Y Zho,M Li",Oxidation of Metals,Q2,1.805,57,5-6,379-394,2002,"KLUWER ACADEMIC/PLENUM PUBL, 233 SPRING ST, NEW YORK, NY 10013 USA",https://link.springer.com/article/10.1023/A%3A1015363119164,2002oxidation-sun_oxidation_2002.pdf,2002oxidation-sun_oxidation_2002.jpg,"The cyclic-oxidation behavior of Ti3SiC2-base material was studied at 1100°C in air. Scale spallation and weight loss were not observed in the present tests and the weight gain would just continue if the experiments were not interrupted. The present results demonstrated that the scale growth on Ti3SiC2-base material obeyed a parabolic rate law up to 20 cycles. It then changed to a linear rate with further increasing cycles. The scales formed on the Ti3SiC2-base material were composed of an inward-growing, fine-grain mixture of TiO2+SiO2 and an outward-growing, coarse-grain TiO2. Theoretical calculations show that the mismatch in thermal expansion coefficients between the inner scale and Ti3SiC2-base matrix is small. The outer TiO2 layer was under very low compressive stress, while the inner TiO2+SiO2 layer was under tensile stress during cooling. Scale spallation is, therefore, not expected and the scale formed on Ti3SiC2-base material is adherent and resistant to cyclic oxidation.",
Tribological behavior of Ti3SiC2-based material,Zhimei Sun ,-,Yanchun Zhou,"Zhimei Sun ,Yanchun Zhou,S Li",JOURNAL OF MATERIALS SCIENCE & TECHNOLOGY,Q1,5.04,18,2,142-145,2002,JOURNAL MATER SCI TECHNO,http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=19&SID=7ABp3n8D79fHzHiVpSt&page=1&doc=1,2002jmst-sun-JMST-2002.pdf,2002jmst-sun-JMST-2002.jpg,"The wear and friction properties of Ti3SiC2-based materials were studied using the pin-on-disc method. The friction coefficient of Ti3SiC2-based material was not very sensitive to normal load, the steady state value, p, increased from 0.4 to 0.5 when the normal load increased from 7.7 N to 14.7 N. The wear volume for Ti3SiC2 disc increased with increasing normal load or sliding distance in the tests. The average wear rate of Ti3SiC2-based material was 9.9X10(-5) mm(3)/Nm. The debris on the Ti3SiC2 disc was essentially made up of Ti3SiC2 and steel pin materials, while the debris on the steel sliders was generally pip material. The wear mechanism was concluded as the fracture and delamination of Ti3SiC2-based materials followed by adhesive wear of steel sliders.",
